Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
408,March 1st Movement,1,March,1919,Korea,Independence Movement,Korean Peninsula,"A nationwide peaceful protest against Japanese colonial rule, pivotal in the Korean independence movement.",Korean people,Korean activists,Mixed,35.907757,127.766922
409,Establishment of the Provisional Government,11,April,1919,Korea,Exile Government Formation,"Shanghai, China","Formed by Korean exiles, it acted as the de facto Korean governmentUnknowninUnknownexile opposing Japanese rule.",Korean people,Korean independence activists,Positive,30.946049,121.454361
410,Korean Liberation,15,August,1945,Korea,End of Colonial Rule,Korean Peninsula,Marked the end of Japanese colonial rule in Korea following Japan's surrender in WWII.,Korean people,Allied Powers,Positive,35.907757,127.766922
411,Division of Korea,Unknown,Unknown,1945,Korea,Geopolitical Division,38th Parallel North,"Korea was divided into North and South along the 38th parallel, laying the groundwork for future conflict.",Korean people,"United States, Soviet Union",Negative,40.339852,127.510093
412,Establishment of the Republic of Korea,15,August,1948,South Korea,State Establishment,Seoul,Official establishment of South Korea as an independent nation following the division.,South Koreans,Syngman Rhee,Positive,37.550263,126.9970831
413,Establishment of the Democratic People's Republic of Korea,9,September,1948,North Korea,State Establishment,Pyongyang,"Official establishment of North Korea as a separate state, consolidating the division of Korea.",North Koreans,Kim IlUnknownsung,Negative,39.0737987,125.8197642
414,Jeju Uprising,Unknown,Unknown,1948,South Korea,Social Unrest,Jeju Island,"A violent suppression of a rebellion, leading to significant loss of life and highlighting postUnknownliberation tensions.",Jeju Island residents,South Korean Government,Negative,33.3785614,126.5661908
415,Korean War,25,June,1950,Korea,Military Conflict,Korean Peninsula,"An armed conflict between North and South Korea, with significant international involvement, further solidifying the division.","Korean people, international forces","North Korea, South Korea, UN, China, US",Negative,35.907757,127.766922
416,US Military Government in South Korea,Unknown,Unknown,1945,South Korea,Military Occupation,South Korea,"The US established a military government in South Korea postUnknownliberation, influencing its political development.",South Koreans,United States,Mixed,35.907757,127.766922
417,Soviet Occupation of North Korea,Unknown,Unknown,1945,North Korea,Military Occupation,North Korea,"The Soviet Union established a military government in North Korea, shaping its socialist structure.",North Koreans,Soviet Union,Mixed,40.339852,127.510093
418,Korean War,25,June,1950,North Korea,Military Conflict,Korean Peninsula,"Initiated the Korean War with the invasion of South Korea, leading to a prolonged conflict and division.",Korean people,Kim IlUnknownsung,Mixed,40.339852,127.510093
419,Armistice Agreement,27,July,1953,North Korea,Ceasefire,Panmunjom,"Ended active hostilities in the Korean War without a formal peace treaty, creating the DMZ.",Korean people,Korean War belligerents,Positive,40.339852,127.510093
420,Establishment of the Juche Ideology,Unknown,Unknown,1955,North Korea,Political Ideology,Pyongyang,"Formalized Kim IlUnknownsung’s Juche ideology, emphasizing selfUnknownreliance and independence in all state matters.",North Korean citizens,Kim IlUnknownsung,Mixed,39.0737987,125.8197642
421,Pueblo Incident,23,January,1968,North Korea,Military/Political Incident,Sea of Japan,"The capture of the USS Pueblo, escalating tensions with the United States.","US Navy crew, North Koreans",Kim IlUnknownsung,Negative,40.339852,127.510093
422,Kim IlUnknownsung’s Death,8,July,1994,North Korea,Political,Pyongyang,Marked the end of Kim IlUnknownsung’s era and the beginning of Kim JongUnknownil’s leadership.,North Korean citizens,Unknown,Negative,39.0737987,125.8197642
423,North Korea's First Nuclear Test,9,October,2006,North Korea,Nuclear Test,Kilju County,"North Korea's first successful nuclear test, significantly impacting international relations and security dynamics.",International community,Kim JongUnknownil,Negative,40.96121979999999,129.3209986
424,April Revolution,19,April,1960,South Korea,Political Uprising,Seoul,Led to the resignation of President Syngman Rhee and the establishment of a more democratic government structure.,South Korean citizens,"Student protesters, general public",Positive,37.550263,126.9970831
425,May 16 Coup,16,May,1961,South Korea,Military Coup,Seoul,"Military coup led by Park ChungUnknownhee, resulting in economic development but also authoritarian rule.",South Korean citizens,Park ChungUnknownhee,Positive,37.550263,126.9970831
426,Gwangju Uprising,18,May,1980,South Korea,Democratic Uprising,Gwangju,"A mass uprising against the military government, leading to civilian massacres and a call for democratic reforms.",Gwangju residents,"Chun DooUnknownhwan, democratic activists",Positive,35.15008220000001,126.8559071
427,Seoul Olympics,17,September,1988,South Korea,International Sports Event,Seoul,Showcased South Korea's emergence on the world stage and contributed to its global cultural and economic presence.,International audience,Roh TaeUnknownwoo,Positive,37.550263,126.9970831
428,Kim DaeUnknownjung’s Sunshine Policy,Unknown,Unknown,1990,South Korea,Diplomatic Policy,Korean Peninsula,"A policy of engagement with North Korea, leading to a brief period of improved interUnknownKorean relations.",Koreans,Kim DaeUnknownjung,Positive,35.907757,127.766922
429,2002 FIFA World Cup,31,May,2002,South Korea,International Sports Event,"South Korea, Japan","CoUnknownhosted with Japan, this event marked South Korea's significant presence in international sports.",Global audience,"FIFA, South Korea, Japan",Positive,35.907757,127.766922
430,Impeachment of President Roh MooUnknownhyun,12,March,2004,South Korea,Political,Seoul,"Roh's impeachment for alleged election law violations, highlighting South Korea's political volatility.",South Korean citizens,South Korean National Assembly,Mixed,37.550263,126.9970831
431,THAAD Deployment Controversy,Unknown,Unknown,2017,South Korea,Military/Political,Seongju County,"Deployment of the US THAAD missile defense system, sparking domestic protests and tensions with China.","South Korean citizens, China","Moon JaeUnknownin, US government",Negative,35.91820999999999,128.2866674
432,2018 InterUnknownKorean Summit,27,April,2018,South Korea,Diplomatic,Panmunjom,"Leaders of North and South Korea met for talks, renewing hopes for peace and denuclearization on the peninsula.",Koreans,"Moon JaeUnknownin, Kim JongUnknownun",Positive,35.907757,127.766922
433,Second Nuclear Test,25,May,2009,North Korea,Nuclear Test,North Korea,"Escalated tensions with the international community, underlining North Korea's commitment to its nuclear program.",International community,Kim JongUnknownil,Negative,40.339852,127.510093
434,Death of Kim JongUnknownil,17,December,2011,North Korea,Leadership Change,Pyongyang,Marked the end of Kim JongUnknownil's era and the beginning of Kim JongUnknownun's rule.,North Korean citizens,Unknown,Mixed,39.0737987,125.8197642
435,Kim JongUnknownun Assumes Power,Unknown,Unknown,2012,North Korea,Political,North Korea,"Initiated a new leadership era, with a focus on nuclear development and economic improvement.",North Korean citizens,Kim JongUnknownun,Mixed,40.339852,127.510093
436,Battle of Điện Biên Phủ,7,May,1954,Vietnam,Military Siege,Điện Biên Phủ,"Decisive victory against French forces, leading to the end of French Indochina and the Geneva Accords.","Vietnamese, French forces",Võ Nguyên Giáp,Positive,21.4063898,103.0321549
437,Geneva Accords,21,July,1954,Vietnam,Diplomatic Agreement,Geneva,"Temporarily divided Vietnam at the 17th parallel, setting the stage for conflict between North and South Vietnam.",Vietnamese people,International community,Mixed,46.2043907,6.1431577
438,Establishment of the National Liberation Front,Unknown,Unknown,1960,Vietnam,Political/Military Organization,South Vietnam,"Formed to fight against the South Vietnamese government and the US, aiming for reunification.","South Vietnamese, Viet Cong",North Vietnam,Mixed,14.058324,108.277199
439,Gulf of Tonkin Incident,2,August,1964,Vietnam,Military Engagement,Gulf of Tonkin,"Led to US Congress passing the Gulf of Tonkin Resolution, escalating American involvement in the Vietnam War.","Vietnamese, US military",US Government,Negative,14.058324,108.277199
440,Tết Offensive,30,January,1968,Vietnam,Military Offensive,South Vietnam,"A major campaign by North Vietnamese forces, marking a turning point in public perception of the Vietnam War.","Vietnamese, US civilians","North Vietnamese Army, Viet Cong",Mixed,14.058324,108.277199
441,Paris Peace Accords,27,January,1973,Vietnam,Diplomatic Agreement,Paris,"Led to a ceasefire and the withdrawal of US troops from Vietnam, although fighting between North and South continued.","Vietnamese, US military","US Government, North Vietnam",Mixed,14.058324,108.277199
442,Fall of Saigon,30,April,1975,Vietnam,Military/Political Event,Saigon,Marked the end of the Vietnam War and the beginning of reunification under the Socialist Republic of Vietnam.,"South Vietnamese, North Vietnamese",North Vietnamese Army,Positive,10.8230989,106.6296638
443,Reunification of Vietnam,2,July,1976,Vietnam,Political,Vietnam,"Officially reunified North and South Vietnam under a communist government, renaming Saigon to Ho Chi Minh City.",Vietnamese people,Socialist Republic of Vietnam,Positive,14.058324,108.277199
446,Normalization of USUnknownVietnam Relations,11,July,1995,Vietnam,Diplomatic,"Vietnam, US","Marked the normalization of relations between Vietnam and the US, including the opening of diplomatic and economic ties.","Vietnamese, Americans","Bill Clinton, Vietnamese Government",Positive,14.058324,108.277199
447,Vietnam Joins ASEAN,28,July,1995,Vietnam,International Integration,Southeast Asia,"Vietnam's accession to ASEAN, enhancing regional cooperation and integration.",Vietnamese people,"ASEAN, Vietnamese Government",Positive,14.058324,108.277199
448,Vietnam Joins the World Trade Organization,11,January,2007,Vietnam,International Trade Membership,Geneva,"Marked Vietnam's deeper integration into the global economy, promoting trade and investment.",Vietnamese economy,"WTO, Vietnamese Government",Positive,46.2043907,6.1431577
449,1000th Anniversary of Hanoi,10,October,2010,Vietnam,Cultural Celebration,Hanoi,"Celebrated the founding of the city, emphasizing Vietnam's rich history and cultural heritage.",Vietnamese people,Government of Vietnam,Positive,21.0277644,105.8341598
450,Vietnam Hosts APEC Summit,6,November,2017,Vietnam,International Summit,Da Nang,"Hosted leaders from the AsiaUnknownPacific region, showcasing Vietnam's role on the international stage.","Global leaders, Vietnamese people",Government of Vietnam,Positive,16.0544068,108.2021667
451,"Resolution on ""Vietnam's Marine Strategy to 2020""",Unknown,Unknown,2007,Vietnam,Environmental/Economic Policy,Vietnam,"Aimed at sustainable development of marine resources, highlighting Vietnam's commitment to environmental preservation and economic growth.",Vietnamese people,Communist Party of Vietnam,Positive,14.058324,108.277199
